DATE,VARQGSP
2005-01-01,408116.2
2005-04-01,413604.8
2005-07-01,419224.1
2005-10-01,419402.3
2006-01-01,424899.6
2006-04-01,423792.4
2006-07-01,423351.9
2006-10-01,422906.1
2007-01-01,425068.4
2007-04-01,425607.8
2007-07-01,428612.7
2007-10-01,428715.3
2008-01-01,424609.1
2008-04-01,427656.0
2008-07-01,428236.1
2008-10-01,422712.8
2009-01-01,420075.7
2009-04-01,424439.7
2009-07-01,426496.3
2009-10-01,431321.2
2010-01-01,431519.5
2010-04-01,437072.4
2010-07-01,439483.5
2010-10-01,440996.0
2011-01-01,438031.2
2011-04-01,440546.6
2011-07-01,441508.1
2011-10-01,446349.5
2012-01-01,444616.2
2012-04-01,445072.3
2012-07-01,446064.8
2012-10-01,444046.9
2013-01-01,448936.5
2013-04-01,445966.4
2013-07-01,445785.8
2013-10-01,445549.9
2014-01-01,442220.5
2014-04-01,445294.6
2014-07-01,446830.5
2014-10-01,447763.1
2015-01-01,449085.8
2015-04-01,455074.6
2015-07-01,456835.1
2015-10-01,455395.2
2016-01-01,450839.0
2016-04-01,454223.5
2016-07-01,456119.4
2016-10-01,460389.4
2017-01-01,459284.1
2017-04-01,461961.4
2017-07-01,465260.0
2017-10-01,467198.9
2018-01-01,470498.4
2018-04-01,473910.8
2018-07-01,479651.0
2018-10-01,481492.1
2019-01-01,484657.8
